collection,group,source,model,run_name,seed,image_size,learning_rate,weight_decay,batch_size,label_smoothing,best_epoch,epochs_completed,best_val_acc,test_acc,test_loss
best10,convnext_tiny_384_best10,convnext_final_checks,convnext_tiny,convnext_tiny_384_best_seed7_lr0p0001_wd1e-05_bs16_ls0p1,7,384,0.0001,1e-05,16,0.1,30,45,0.9705882352941176,0.9513742071881607,1.044970313346101
best10,convnext_tiny_384_best10,convnext_384_expansion,convnext_tiny,convnext_tiny_384_best_seed42_lr0p0001_wd1e-05_bs16_ls0p1,42,384,0.0001,1e-05,16,0.1,39,54,0.9784313725490196,0.9585298422507725,1.0273646170636623
best10,convnext_tiny_384_best10,convnext_384_expansion,convnext_tiny,convnext_tiny_384_best_seed99_lr0p0001_wd1e-05_bs16_ls0p1,99,384,0.0001,1e-05,16,0.1,32,47,0.9754901960784313,0.9596682387380062,1.0375441561909997
best10,convnext_tiny_384_best10,convnext_final_checks,convnext_tiny,convnext_tiny_384_best_seed123_lr0p0001_wd1e-05_bs16_ls0p1,123,384,0.0001,1e-05,16,0.1,51,66,0.9774509803921568,0.9604813790860303,0.9862075667882241
best10,convnext_tiny_384_best10,convnext_384_expansion,convnext_tiny,convnext_tiny_384_best_seed314_lr0p0001_wd1e-05_bs16_ls0p1,314,384,0.0001,1e-05,16,0.1,31,46,0.9774509803921568,0.965034965034965,1.0347058831298035
best10,convnext_tiny_384_best10,convnext_384_expansion,convnext_tiny,convnext_tiny_384_best_seed512_lr0p0001_wd1e-05_bs16_ls0p1,512,384,0.0001,1e-05,16,0.1,13,28,0.9666666666666667,0.9424296633598959,1.1533729194489741
best10,convnext_tiny_384_best10,convnext_384_expansion,convnext_tiny,convnext_tiny_384_best_seed1009_lr0p0001_wd1e-05_bs16_ls0p1,1009,384,0.0001,1e-05,16,0.1,26,41,0.9686274509803922,0.955439908928281,1.0663010073902355
best10,convnext_tiny_384_best10,convnext_384_expansion,convnext_tiny,convnext_tiny_384_best_seed2024_lr0p0001_wd1e-05_bs16_ls0p1,2024,384,0.0001,1e-05,16,0.1,34,49,0.9676470588235294,0.9559277931370954,1.0428051775326515
best10,convnext_tiny_384_best10,convnext_final_checks,convnext_tiny,convnext_tiny_384_best_seed2026_lr0p0001_wd1e-05_bs16_ls0p1,2026,384,0.0001,1e-05,16,0.1,31,46,0.9774509803921568,0.954626768580257,1.0501248148674498
best10,convnext_tiny_384_best10,convnext_384_expansion,convnext_tiny,convnext_tiny_384_best_seed4096_lr0p0001_wd1e-05_bs16_ls0p1,4096,384,0.0001,1e-05,16,0.1,35,50,0.9686274509803922,0.9567409334851196,1.04996772665651
top_challenger3,convnext_tiny_384_top_challenger3_lr0p0003_wd1e-05,convnext_384_expansion,convnext_tiny,convnext_tiny_384_tune_seed7_lr0p0003_wd1e-05_bs16_ls0p1,7,384,0.0003,1e-05,16,0.1,17,32,0.9735294117647059,0.946820621239226,1.012771870609531
top_challenger3,convnext_tiny_384_top_challenger3_lr0p0003_wd1e-05,convnext_384_expansion,convnext_tiny,convnext_tiny_384_tune_top_lr0p0003_wd1e-05_seed123_bs16_ls0p1,123,384,0.0003,1e-05,16,0.1,15,30,0.961764705882353,0.9382013335501708,1.045097150256293
top_challenger3,convnext_tiny_384_top_challenger3_lr0p0003_wd1e-05,convnext_384_expansion,convnext_tiny,convnext_tiny_384_tune_top_lr0p0003_wd1e-05_seed2026_bs16_ls0p1,2026,384,0.0003,1e-05,16,0.1,9,24,0.9637254901960784,0.9435680598471297,1.0674793039866435
tuning_seed7,convnext_tiny_384_tune_seed7_lr0p0001_wd0p0001,convnext_384_expansion,convnext_tiny,convnext_tiny_384_tune_seed7_lr0p0001_wd0p0001_bs16_ls0p1,7,384,0.0001,0.0001,16,0.1,30,45,0.9705882352941176,0.9513742071881607,1.04497325598738
tuning_seed7,convnext_tiny_384_tune_seed7_lr0p0001_wd1e-05,convnext_final_checks,convnext_tiny,convnext_tiny_384_best_seed7_lr0p0001_wd1e-05_bs16_ls0p1,7,384,0.0001,1e-05,16,0.1,30,45,0.9705882352941176,0.9513742071881607,1.044970313346101
tuning_seed7,convnext_tiny_384_tune_seed7_lr0p0003_wd0p0001,convnext_384_expansion,convnext_tiny,convnext_tiny_384_tune_seed7_lr0p0003_wd0p0001_bs16_ls0p1,7,384,0.0003,0.0001,16,0.1,16,31,0.9696078431372549,0.9456822247519922,1.0122240945020717
tuning_seed7,convnext_tiny_384_tune_seed7_lr0p0003_wd1e-05,convnext_384_expansion,convnext_tiny,convnext_tiny_384_tune_seed7_lr0p0003_wd1e-05_bs16_ls0p1,7,384,0.0003,1e-05,16,0.1,17,32,0.9735294117647059,0.946820621239226,1.012771870609531
tuning_seed7,convnext_tiny_384_tune_seed7_lr5e-05_wd0p0001,convnext_384_expansion,convnext_tiny,convnext_tiny_384_tune_seed7_lr5e-05_wd0p0001_bs16_ls0p1,7,384,5e-05,0.0001,16,0.1,38,53,0.9686274509803922,0.9486095300048788,1.1074252784358793
tuning_seed7,convnext_tiny_384_tune_seed7_lr5e-05_wd1e-05,convnext_384_expansion,convnext_tiny,convnext_tiny_384_tune_seed7_lr5e-05_wd1e-05_bs16_ls0p1,7,384,5e-05,1e-05,16,0.1,38,53,0.9686274509803922,0.9486095300048788,1.1074240146119103
