status,model,pretrained,learning_rate,weight_decay,batch_size,label_smoothing,epochs_completed,best_epoch,best_val_acc,test_loss,test_acc,early_stopped,return_code,run_name
completed,convnext_tiny,True,0.0003,0.0001,32,0.1,32,17,0.9666666666666667,1.064162149014832,0.9466579931696211,True,0,convnext_tiny_pretrained_lr0p0003_wd0p0001_bs32_ls0p1
completed,convnext_tiny,True,0.0003,1e-05,32,0.1,32,17,0.9666666666666667,1.0642749678605863,0.9464953651000163,True,0,convnext_tiny_pretrained_lr0p0003_wd1e-05_bs32_ls0p1
completed,convnext_tiny,True,5e-05,0.0001,32,0.1,53,38,0.9666666666666667,1.1699303479228762,0.9417791510814767,True,0,convnext_tiny_pretrained_lr5e-05_wd0p0001_bs32_ls0p1
completed,convnext_tiny,True,5e-05,1e-05,32,0.1,53,38,0.9666666666666667,1.169929409631967,0.9417791510814767,True,0,convnext_tiny_pretrained_lr5e-05_wd1e-05_bs32_ls0p1
completed,convnext_tiny,True,0.0003,0.0001,32,0.0,33,18,0.9656862745098039,0.22017581488120472,0.9469832493088307,True,0,convnext_tiny_pretrained_lr0p0003_wd0p0001_bs32_ls0
completed,convnext_tiny,True,0.0003,1e-05,32,0.0,33,18,0.9656862745098039,0.2201799126799346,0.9469832493088307,True,0,convnext_tiny_pretrained_lr0p0003_wd1e-05_bs32_ls0
completed,convnext_tiny,True,0.0001,0.0001,16,0.1,49,34,0.9656862745098039,1.0661190954005355,0.9492600422832981,True,0,convnext_tiny_pretrained_lr0p0001_wd0p0001_bs16_ls0p1
completed,convnext_tiny,True,0.0001,0.0001,32,0.1,42,27,0.9656862745098039,1.1255472317461581,0.948446901935274,True,0,convnext_tiny_pretrained_lr0p0001_wd0p0001_bs32_ls0p1
completed,convnext_tiny,True,0.0001,1e-05,16,0.1,49,34,0.9656862745098039,1.0660701820396334,0.9495852984225077,True,0,convnext_tiny_pretrained_lr0p0001_wd1e-05_bs16_ls0p1
completed,convnext_tiny,True,0.0001,1e-05,32,0.1,42,27,0.9656862745098039,1.1255456503474008,0.948446901935274,True,0,convnext_tiny_pretrained_lr0p0001_wd1e-05_bs32_ls0p1
completed,convnext_tiny,True,5e-05,0.0001,16,0.1,54,39,0.9656862745098039,1.1308202733836885,0.9434054317775248,True,0,convnext_tiny_pretrained_lr5e-05_wd0p0001_bs16_ls0p1
completed,convnext_tiny,True,5e-05,1e-05,16,0.1,54,39,0.9656862745098039,1.130818395202461,0.9434054317775248,True,0,convnext_tiny_pretrained_lr5e-05_wd1e-05_bs16_ls0p1
