model,run_name,learning_rate,weight_decay,batch_size,label_smoothing,best_epoch,epochs_completed,best_val_acc,test_acc,test_loss
resnet50,resnet50_pretrained_lr0p0003_wd0p0001_bs16_ls0p1,0.0003,0.0001,16,0.1,38,53,0.9549019607843138,0.9277931370954626,1.066221928534459
resnet50,resnet50_pretrained_lr0p0001_wd0p0001_bs16_ls0p1,0.0001,0.0001,16,0.1,18,33,0.95,0.9217758985200846,1.139387109402157
resnet50,resnet50_pretrained_lr0p0001_wd1e-05_bs16_ls0p1,0.0001,1e-05,16,0.1,18,33,0.95,0.9180354529191739,1.148190754722785
resnet50,resnet50_pretrained_lr5e-05_wd0p0001_bs16_ls0p1,5e-05,0.0001,16,0.1,25,40,0.9480392156862745,0.9208001301024556,1.1495950953187661
resnet50,resnet50_pretrained_lr5e-05_wd1e-05_bs32_ls0p1,5e-05,1e-05,32,0.1,68,83,0.946078431372549,0.9230769230769231,1.1613467246037146
resnet50,resnet50_pretrained_lr0p0001_wd0p0001_bs16_ls0,0.0001,0.0001,16,0.0,20,35,0.9450980392156862,0.9175475687103594,0.3013094267713996
resnet50,resnet50_pretrained_lr5e-05_wd1e-05_bs16_ls0p1,5e-05,1e-05,16,0.1,25,40,0.9450980392156862,0.9221011546592942,1.1477882050560595
resnet50,resnet50_pretrained_lr5e-05_wd0p0001_bs32_ls0p1,5e-05,0.0001,32,0.1,69,84,0.9441176470588235,0.9203122458936412,1.152195493037729
resnet50,resnet50_pretrained_lr0p0001_wd0p0001_bs32_ls0p1,0.0001,0.0001,32,0.1,43,58,0.9431372549019608,0.9299073020003252,1.1240499086797984
resnet50,resnet50_pretrained_lr0p0001_wd1e-05_bs32_ls0p1,0.0001,1e-05,32,0.1,30,45,0.9382352941176471,0.9217758985200846,1.1529281434052785
resnet50,resnet50_pretrained_lr0p0003_wd0p0001_bs32_ls0p1,0.0003,0.0001,32,0.1,19,34,0.9372549019607843,0.9185233371279883,1.1302877565984282
resnet50,resnet50_pretrained_lr0p0003_wd1e-05_bs32_ls0p1,0.0003,1e-05,32,0.1,19,34,0.9362745098039216,0.9110424459261669,1.1432313471329776
resnet50,resnet50_pretrained_lr0p0003_wd1e-05_bs16_ls0,0.0003,1e-05,16,0.0,47,62,0.9333333333333333,0.8938038705480565,0.4918003739119607
resnet50,resnet50_pretrained_lr0p0001_wd1e-05_bs16_ls0,0.0001,1e-05,16,0.0,20,35,0.9323529411764706,0.9050252073507887,0.35395145988680854
resnet50,resnet50_pretrained_lr5e-05_wd1e-05_bs16_ls0,5e-05,1e-05,16,0.0,25,40,0.9323529411764706,0.9131566108310294,0.33314268338751635
resnet50,resnet50_pretrained_lr5e-05_wd0p0001_bs16_ls0,5e-05,0.0001,16,0.0,25,40,0.9303921568627451,0.9138071231094487,0.3287991261177715
resnet50,resnet50_pretrained_lr5e-05_wd0p0001_bs32_ls0,5e-05,0.0001,32,0.0,62,77,0.9303921568627451,0.9069767441860465,0.35382658765774117
resnet50,resnet50_pretrained_lr0p0003_wd1e-05_bs16_ls0p1,0.0003,1e-05,16,0.1,7,22,0.9294117647058824,0.9097414213693283,1.151176248901083
resnet50,resnet50_pretrained_lr5e-05_wd1e-05_bs32_ls0,5e-05,1e-05,32,0.0,37,52,0.9264705882352942,0.9032362985851358,0.3776699929840585
resnet50,resnet50_pretrained_lr0p0003_wd0p0001_bs16_ls0,0.0003,0.0001,16,0.0,19,34,0.9245098039215687,0.8804683688404619,0.4993190860113236
resnet50,resnet50_pretrained_lr0p0003_wd0p0001_bs32_ls0,0.0003,0.0001,32,0.0,7,22,0.9225490196078432,0.8877866319726785,0.40871269450198683
resnet50,resnet50_pretrained_lr0p0001_wd0p0001_bs32_ls0,0.0001,0.0001,32,0.0,20,35,0.9215686274509803,0.9043746950723694,0.3626904946837164
resnet50,resnet50_pretrained_lr0p0001_wd1e-05_bs32_ls0,0.0001,1e-05,32,0.0,20,35,0.9215686274509803,0.9043746950723694,0.36854389883156163
resnet50,resnet50_pretrained_lr0p0003_wd1e-05_bs32_ls0,0.0003,1e-05,32,0.0,6,21,0.9098039215686274,0.8773784355179705,0.4796852192558696
