rank,true_class,pred_class,count,true_class_total,confusion_rate,example_images
1,96,97,10,71,0.14084507042253522,image_07675.jpg; image_07676.jpg; image_07677.jpg; image_07678.jpg; image_07679.jpg
2,53,46,9,73,0.1232876712328767,image_03641.jpg; image_03642.jpg; image_03643.jpg; image_03648.jpg; image_03649.jpg
3,51,83,7,238,0.029411764705882353,image_03914.jpg; image_01337.jpg; image_03962.jpg; image_01341.jpg; image_03984.jpg
4,23,97,5,71,0.07042253521126761,image_03370.jpg; image_03372.jpg; image_03378.jpg; image_03385.jpg; image_03408.jpg
5,50,12,4,72,0.05555555555555555,image_06302.jpg; image_06316.jpg; image_06334.jpg; image_06341.jpg
6,51,75,4,238,0.01680672268907563,image_01320.jpg; image_01322.jpg; image_03952.jpg; image_01480.jpg
7,51,1,4,238,0.01680672268907563,image_03980.jpg; image_03921.jpg; image_03986.jpg; image_03947.jpg
8,51,19,4,238,0.01680672268907563,image_03927.jpg; image_03942.jpg; image_03951.jpg; image_03933.jpg
9,89,97,4,164,0.024390243902439025,image_00604.jpg; image_00620.jpg; image_00757.jpg; image_00778.jpg
10,11,4,3,67,0.04477611940298507,image_03109.jpg; image_03112.jpg; image_03139.jpg
11,43,75,3,110,0.02727272727272727,image_02383.jpg; image_02388.jpg; image_02409.jpg
12,51,86,3,238,0.012605042016806723,image_01332.jpg; image_03919.jpg; image_01482.jpg
13,51,53,3,238,0.012605042016806723,image_01361.jpg; image_01362.jpg; image_03949.jpg
14,51,89,3,238,0.012605042016806723,image_01342.jpg; image_03920.jpg; image_03937.jpg
15,51,101,3,238,0.012605042016806723,image_01365.jpg; image_01370.jpg; image_03929.jpg
16,88,78,3,134,0.022388059701492536,image_00461.jpg; image_00470.jpg; image_00571.jpg
17,3,9,2,20,0.1,image_06613.jpg; image_06637.jpg
18,5,41,2,45,0.044444444444444446,image_05183.jpg; image_05207.jpg
19,11,101,2,67,0.029850746268656716,image_03120.jpg; image_03177.jpg
20,14,29,2,28,0.07142857142857142,image_06063.jpg; image_06080.jpg
21,30,90,2,65,0.03076923076923077,image_03468.jpg; image_03490.jpg
22,43,39,2,110,0.01818181818181818,image_02390.jpg; image_02428.jpg
23,43,53,2,110,0.01818181818181818,image_02436.jpg; image_02444.jpg
24,48,16,2,51,0.0392156862745098,image_04637.jpg; image_04644.jpg
25,51,58,2,238,0.008403361344537815,image_01369.jpg; image_01364.jpg
26,51,32,2,238,0.008403361344537815,image_01374.jpg; image_01355.jpg
27,72,90,2,76,0.02631578947368421,image_03557.jpg; image_03565.jpg
28,74,16,2,151,0.013245033112582781,image_01178.jpg; image_01274.jpg
29,77,38,2,231,0.008658008658008658,image_00113.jpg; image_00244.jpg
30,78,73,2,117,0.017094017094017096,image_01878.jpg; image_01905.jpg
