seed,source,run_name,best_epoch,epochs_completed,best_val_acc,test_acc,test_loss
7,convnext_final_checks,convnext_tiny_384_best_seed7_lr0p0001_wd1e-05_bs16_ls0p1,30,45,0.9705882352941176,0.9513742071881607,1.044970313346101
42,convnext_384_expansion,convnext_tiny_384_best_seed42_lr0p0001_wd1e-05_bs16_ls0p1,39,54,0.9784313725490196,0.9585298422507725,1.0273646170636623
99,convnext_384_expansion,convnext_tiny_384_best_seed99_lr0p0001_wd1e-05_bs16_ls0p1,32,47,0.9754901960784313,0.9596682387380062,1.0375441561909997
123,convnext_final_checks,convnext_tiny_384_best_seed123_lr0p0001_wd1e-05_bs16_ls0p1,51,66,0.9774509803921568,0.9604813790860303,0.9862075667882241
314,convnext_384_expansion,convnext_tiny_384_best_seed314_lr0p0001_wd1e-05_bs16_ls0p1,31,46,0.9774509803921568,0.965034965034965,1.0347058831298035
512,convnext_384_expansion,convnext_tiny_384_best_seed512_lr0p0001_wd1e-05_bs16_ls0p1,13,28,0.9666666666666667,0.9424296633598959,1.1533729194489741
1009,convnext_384_expansion,convnext_tiny_384_best_seed1009_lr0p0001_wd1e-05_bs16_ls0p1,26,41,0.9686274509803922,0.955439908928281,1.0663010073902355
2024,convnext_384_expansion,convnext_tiny_384_best_seed2024_lr0p0001_wd1e-05_bs16_ls0p1,34,49,0.9676470588235294,0.9559277931370954,1.0428051775326515
2026,convnext_final_checks,convnext_tiny_384_best_seed2026_lr0p0001_wd1e-05_bs16_ls0p1,31,46,0.9774509803921568,0.954626768580257,1.0501248148674498
4096,convnext_384_expansion,convnext_tiny_384_best_seed4096_lr0p0001_wd1e-05_bs16_ls0p1,35,50,0.9686274509803922,0.9567409334851196,1.04996772665651
