group,model,run_name,seed,learning_rate,weight_decay,batch_size,label_smoothing,best_epoch,epochs_completed,best_val_acc,test_acc,test_loss
convnext_tiny_lr0p0001_wd1e-05_bs16,convnext_tiny,convnext_tiny_lr0p0001_wd1e-05_bs16_seed7_ls0p1,7,0.0001,1e-05,16,0.1,24,39,0.9647058823529412,0.946820621239226,1.0621580404951467
convnext_tiny_lr0p0001_wd1e-05_bs16,convnext_tiny,convnext_tiny_lr0p0001_wd1e-05_bs16_seed123_ls0p1,123,0.0001,1e-05,16,0.1,24,39,0.9637254901960784,0.94763376158725,1.0789830011649915
convnext_tiny_lr0p0001_wd1e-05_bs16,convnext_tiny,convnext_tiny_lr0p0001_wd1e-05_bs16_seed2026_ls0p1,2026,0.0001,1e-05,16,0.1,31,46,0.9705882352941176,0.9471458773784355,1.070198110825338
convnext_tiny_wd1e-05,convnext_tiny,convnext_tiny_wd1e-05_seed7_lr0p0003_wd1e-05_bs32_ls0p1,7,0.0003,1e-05,32,0.1,8,23,0.9598039215686275,0.9382013335501708,1.1041317859361337
convnext_tiny_wd1e-05,convnext_tiny,convnext_tiny_wd1e-05_seed123_lr0p0003_wd1e-05_bs32_ls0p1,123,0.0003,1e-05,32,0.1,42,57,0.9637254901960784,0.9455195966823874,1.0021055554118383
convnext_tiny_wd1e-05,convnext_tiny,convnext_tiny_wd1e-05_seed2026_lr0p0003_wd1e-05_bs32_ls0p1,2026,0.0003,1e-05,32,0.1,36,51,0.9686274509803922,0.9551146527890714,0.98165586724051
swin_t_best_bs16,swin_t,swin_t_best_bs16_seed7_lr0p0001_wd0p0001_ls0p1,7,0.0001,0.0001,16,0.1,30,40,0.961764705882353,0.9427549194991055,1.0518229094864509
swin_t_best_bs16,swin_t,swin_t_best_bs16_seed123_lr0p0001_wd0p0001_ls0p1,123,0.0001,0.0001,16,0.1,23,33,0.9627450980392157,0.9386892177589852,1.0996289959785939
swin_t_best_bs16,swin_t,swin_t_best_bs16_seed2026_lr0p0001_wd0p0001_ls0p1,2026,0.0001,0.0001,16,0.1,27,37,0.9568627450980393,0.9380387054805659,1.099386661861908
swin_t_best_bs32,swin_t,swin_t_best_bs32_seed7_lr0p0001_wd0p0001_ls0p1,7,0.0001,0.0001,32,0.1,32,42,0.9656862745098039,0.9463327370304114,1.0976061723856136
swin_t_best_bs32,swin_t,swin_t_best_bs32_seed123_lr0p0001_wd0p0001_ls0p1,123,0.0001,0.0001,32,0.1,9,19,0.9480392156862745,0.9186859651975932,1.165185201204895
swin_t_best_bs32,swin_t,swin_t_best_bs32_seed2026_lr0p0001_wd0p0001_ls0p1,2026,0.0001,0.0001,32,0.1,14,24,0.95,0.9193364774760123,1.180595835247046
