epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,853.68,1.47554,2.12312,1.20718,0.39314,0.21377,0.17558,0.1039,1.4089,1.91743,1.20471,0.000331361,0.000331361,0.0671953
2,1680.09,1.4581,1.74083,1.2047,0.45608,0.20715,0.20095,0.11884,1.42358,1.78106,1.22944,0.000658114,0.000658114,0.0341887
3,2534.52,1.44888,1.68098,1.20651,0.4844,0.24205,0.21887,0.12439,1.53851,1.81189,1.28245,0.000978267,0.000978267,0.00117551
4,3369.48,1.43984,1.6165,1.19525,0.5193,0.23728,0.23104,0.13223,1.57019,1.79533,1.31805,0.0009703,0.0009703,0.0009703
5,4229.36,1.41835,1.55288,1.19092,0.48162,0.36454,0.32374,0.1961,1.44312,1.58549,1.23151,0.0009604,0.0009604,0.0009604
6,5096.12,1.40494,1.47545,1.17204,0.5338,0.39359,0.35064,0.20623,1.45812,1.5242,1.2365,0.0009505,0.0009505,0.0009505
7,5944.09,1.38005,1.43229,1.1684,0.55209,0.36482,0.33552,0.19185,1.54347,1.49446,1.27066,0.0009406,0.0009406,0.0009406
8,6774.82,1.36608,1.38525,1.15311,0.57464,0.39024,0.38955,0.23127,1.4521,1.38764,1.22115,0.0009307,0.0009307,0.0009307
9,7572.03,1.34832,1.35014,1.14776,0.52595,0.4085,0.38351,0.23801,1.41016,1.37743,1.19028,0.0009208,0.0009208,0.0009208
10,8371.15,1.31771,1.31233,1.13235,0.58204,0.38655,0.39375,0.23758,1.38246,1.35817,1.17631,0.0009109,0.0009109,0.0009109
11,9187.71,1.30267,1.27515,1.12051,0.53987,0.43525,0.39474,0.23993,1.36591,1.38485,1.17666,0.000901,0.000901,0.000901
12,9994.51,1.30039,1.24576,1.12537,0.65604,0.32409,0.38899,0.23941,1.37448,1.30813,1.17677,0.0008911,0.0008911,0.0008911
13,10828.5,1.29021,1.22928,1.11388,0.67652,0.34667,0.36166,0.21542,1.39767,1.35126,1.19102,0.0008812,0.0008812,0.0008812
14,11636.1,1.27886,1.20475,1.1046,0.65152,0.36035,0.38042,0.22751,1.34116,1.2861,1.15778,0.0008713,0.0008713,0.0008713
15,12571.8,1.28006,1.19469,1.11182,0.56431,0.36885,0.4024,0.24578,1.40587,1.33798,1.1904,0.0008614,0.0008614,0.0008614
16,13846.9,1.25172,1.16393,1.09694,0.55473,0.38228,0.37972,0.233,1.3407,1.29328,1.1565,0.0008515,0.0008515,0.0008515
17,15112.7,1.23905,1.15135,1.09315,0.57773,0.43241,0.3897,0.23096,1.3471,1.29199,1.16191,0.0008416,0.0008416,0.0008416
18,16371.6,1.23969,1.14221,1.08851,0.61015,0.40073,0.41636,0.24955,1.38812,1.27142,1.18107,0.0008317,0.0008317,0.0008317
19,17624.9,1.21434,1.10633,1.08412,0.61655,0.40297,0.41357,0.24998,1.40587,1.24395,1.18812,0.0008218,0.0008218,0.0008218
20,18897.7,1.21634,1.09369,1.07758,0.66154,0.39959,0.4378,0.26556,1.33552,1.20153,1.15346,0.0008119,0.0008119,0.0008119
21,20114,1.20998,1.0748,1.08098,0.6335,0.42658,0.44926,0.27149,1.33226,1.19854,1.14707,0.000802,0.000802,0.000802
22,21326.1,1.21015,1.04985,1.07161,0.58337,0.41888,0.40317,0.24354,1.35535,1.21044,1.15834,0.0007921,0.0007921,0.0007921
23,22523.9,1.20186,1.05499,1.0742,0.64194,0.40421,0.43694,0.26251,1.32759,1.20047,1.14892,0.0007822,0.0007822,0.0007822
24,23719.2,1.19646,1.03563,1.06157,0.5845,0.40562,0.41294,0.24789,1.33743,1.19227,1.15231,0.0007723,0.0007723,0.0007723
25,24912.7,1.18873,1.01551,1.06085,0.68683,0.40499,0.4422,0.27073,1.32894,1.18505,1.15224,0.0007624,0.0007624,0.0007624
26,25743.5,1.18016,1.02066,1.06101,0.58774,0.44396,0.43576,0.26577,1.32968,1.21412,1.14427,0.0007525,0.0007525,0.0007525
27,26561.7,1.17497,0.99527,1.05267,0.61117,0.46457,0.5155,0.29768,1.30739,1.17336,1.12564,0.0007426,0.0007426,0.0007426
28,27341.4,1.16846,0.9788,1.04652,0.56556,0.45619,0.4286,0.24945,1.36347,1.16432,1.15087,0.0007327,0.0007327,0.0007327
29,28168.8,1.15627,0.97889,1.05125,0.58444,0.45716,0.46692,0.29091,1.30107,1.16749,1.13745,0.0007228,0.0007228,0.0007228
30,28995.9,1.15915,0.95743,1.04806,0.61869,0.44579,0.4704,0.28781,1.34425,1.13453,1.15569,0.0007129,0.0007129,0.0007129
31,29818,1.14997,0.93884,1.03845,0.57863,0.43784,0.43889,0.26476,1.35852,1.179,1.14469,0.000703,0.000703,0.000703
32,30648.1,1.13664,0.9253,1.04112,0.61339,0.47113,0.45441,0.27623,1.3413,1.14451,1.14447,0.0006931,0.0006931,0.0006931
33,31426.9,1.12138,0.90763,1.02769,0.52418,0.43277,0.44487,0.26998,1.3294,1.20801,1.13521,0.0006832,0.0006832,0.0006832
34,32201.2,1.12492,0.9069,1.02837,0.57148,0.4344,0.41796,0.25755,1.32846,1.13182,1.13945,0.0006733,0.0006733,0.0006733
35,33026.7,1.1196,0.89186,1.0253,0.68474,0.44454,0.50411,0.28811,1.30148,1.16088,1.13398,0.0006634,0.0006634,0.0006634
36,33848.5,1.11329,0.88305,1.03343,0.49802,0.55751,0.51137,0.29636,1.29424,1.13295,1.12121,0.0006535,0.0006535,0.0006535
37,34663,1.10282,0.86504,1.01823,0.67169,0.43462,0.44545,0.27119,1.33757,1.1757,1.14308,0.0006436,0.0006436,0.0006436
